"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"1.0","14 Jan 2022","3 years back way of working was very good. But now it's very irritating","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57923655.htm","Anonymous employee","Current employee, more than 3 years","Salary is good . Perks are attractive","No personal life. 
Doesn't matters you are simple Graduate or an MBA , you have to sell SIM Cards through CANOPY in markets and rural areas.
No work-life balance , you have to reach for Canopy activity by 6 AM in morning and work for entire day till 8 PM
USELESS CONCALLS 
Managers are very egoistic .
If you are ready to compromise with your self respect and dignity then you can join this organisation","Show more"
"4.0","3 Nov 2012","Pleasure Outside, Pressure Inside","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2106726.htm","Anonymous employee","Current employee, more than 1 year","Great Brand, Progressive, Focus on Processes and People Development, good pay master.  Moulds you into a thorough professional at whatever level you are, investment on training interventions, employee friendly policies","multiple levels of pressure, multiple pressure points, multiple pressure cycles, multiple pressure timelines. Work Life Balance takes a beating. too many things happening at the same time defocuses employees at times","Show more"
"4.0","16 Feb 2013","Great & awesome experience at Bharti Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2376903.htm","Fta spoke manager","Current employee, more than 10 years","its a youth company & i like the way of working. its a honour for me.","This time Bharti Airtel is One of  the leading company in india. Customer Expected more from this company. I think there is lake somewhere in customer satisfaction .","Show more"
"5.0","30 Mar 2014","More than 4 Years in customer life cycle management at proficient level","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW3967813.htm","Product executive","Current employee, more than 5 years","Has very good architecture to perform delivery of services. Provides open door entry to grab the exposure in various domains.","Lack of quality leaders and personal growth is stopped at partner level work.","Show more"
"4.0","22 Jul 2014","Best Telco in India","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4631646.htm","Senior manager","Former employee, more than 5 years","Excellent learning and growth opportunities. Wide range of job roles available within the organization spanning B2C, B2B and International business. Very good employee benefits. Dynamic work environment keeps you on your toes.","Work-Life balance is lacking at most times. Long work hours.","Show more"
"2.0","25 Dec 2016","Understaffed and poor work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW13102184.htm","Finance manager","Current employee, more than 5 years","Fantastic team and colleagues at work. They make it worthwhile . The pay is above average. Benefits are encouraging . There is a great deal of diversity in work responsibility, no autonomous role","Poor system processes and policies. In a bid to cut down costs, Greatly Understaffed company and overworked employees. Work life balance is zero especially in finance","Show more"
"3.0","27 Sept 2017","Customer care representative","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17054279.htm","Customer service representative","Former employee, more than 3 years","Flexible shifts so one could be able to do what's most comfortable if requested for so good if one is taking up school","There is no room for growth and isn't mentally stimulating after a while for it isn't as challenging and the pay could be better","Show more"
"3.0","9 Oct 2017","Everything good in theory. Practically same old lala company!!!","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17251922.htm","Am human resources","Former employee, more than 1 year","Great place to learn general corporate work culture. Great facilities for employees at select locations. Sense of belonging. Diverse team!!!","Boss is always right. Hypocrisy is a part of the company DNA. Under compensated shop floor and over pampered Top Management.","Show more"
"3.0","14 Nov 2017","Experienced working in territory of UP East","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17888582.htm","Zonal sales manager","Former employee, more than 1 year","Good Organisation to work with. Takes good care of employees. New developments helps an individual to learn new approach and things.","Leadership team’s approach was not up to the mark as it was a bit inclined towards biased approach. Can end up demotivating an individual who joins Bharti expecting good career health.","Show more"
"4.0","8 Sept 2019","Good organization, pushes you to perform, respects you","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW29106805.htm","Anonymous","Current employee, more than 8 years","Energetic work environment, makes you think more, being always on top of deliverable, people driven organization, will always support you in your personal life as well, good pay master","Too many reviews, sometimes reluctant to change and feedback, need to rapidly evolve basis the changing digital environment, give higher authority at circle operations","Show more"
"3.0","15 Jul 2021","NOT FOR MBA’s","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW49813509.htm","Territory sales manager","Current employee, more than 1 year","HR Policy is good.
Ground level Learning.
Independent work.","No work life balance
Less pay according to industry 
Thousand of con-calls
Extra workload","Show more"
"5.0","8 Dec 2021","NOC system engineering who support for configuration on various vendor equipment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56435182.htm","Noc systems engineer","Current employee, more than 1 year","In Bharti we have an opportunity to get knowledge of various vendor equipment's used by our network","working hour is high compared with other organization.
Also they are not conducting mind free tours for whole employee where else other companies taking care of employee","Show more"
"5.0","13 Jan 2022","Fullfill","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57908075.htm","Isp engineer","Current employee, more than 8 years","I enjoyed to work with bharti as a network ISP engineer, Bharti given various roll in past 8 years.. I love to continue here as long","Next level rating is still questionable, there is no open discussion is not there.","Show more"
"5.0","13 Jul 2015","Zonal Business Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW7213363.htm","Anonymous employee","Former employee, more than 5 years","airtel is the third leargest telecom operator all over the world in terms of subscriber. working with airtel i came to know how to be vibrant in maaket where all gient operators are in the market.","airtel needs to be more flexible in terms of expenditure considering market movement.","Show more"
"3.0","27 Sept 2017","TSM","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17041401.htm","Tsm","Former employee, less than 1 year","incentives are good.
lots of learning and experience.
most of the people in organization are friendly and helpful.","Their HR sucks. they are laid back and not at all helpful 
no work life balance.
not good appraisals even if you give your best.","Show more"
"4.0","22 Sept 2018","Startup Kind of work environment expected if you join","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW22604933.htm","Principal engineer","Current employee, more than 3 years","Good infrastructure, stability of job, great salary hikes, plenty of leaves or work from home.","No Work life balance, multiple team coordination mess, telecom culture even if it is an IT company now and favoritism is expected.","Show more"
