"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"4.0","21 Sept 2023","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80273293.htm","Senior specialist, marketing","Current employee, more than 3 years","Noida","Great culture, flexibility , home office support, work from home, leadership support","Confusion on hr and admin policies post merger Non responsive HR teams Industry standard pay scale missing for some roles Promotion criteria not clear","Show more",""
"3.0","11 Oct 2023","Best company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80841517.htm","Information security analyst","Former employee, less than 1 year","Bengaluru","","","",""
"3.0","22 Oct 2023","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81173362.htm","Techical specialist","Current employee","","","","",""
"3.0","26 Oct 2023","Okay company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81282147.htm","Software engineer","Current employee","Bengaluru","","","",""
"2.0","26 Oct 2023","Bad option for a career start","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81282965.htm","Software engineer","Former employee","Bengaluru","","","",""
"3.0","29 Oct 2023","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81358986.htm","Senior software engineer","Former employee","Chennai","","","",""
"1.0","19 Aug 2023","Screwed by merger","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79288733.htm","Principal architect","Current employee, more than 1 year","Calcutta","Ok company for up to 10 yrs experience","Too much of BS politics People sitting at C8+ levels are spineless Everybody wants to just save their back by using/ destroying other team members. No team/supportive culture across organisation. Just another pathetic work environment.","Show more","1"
"2.0","13 Aug 2023","Okay Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79105205.htm","Data engineer","Current employee, more than 8 years","Pune","Relaxed work not many responsibilities outside your project. Good for beginners not recommended for experienced","no hike ppl respect your age over the work you do. If you have a lot of experience but not great at your work you're good to last here.","Show more",""
"3.0","20 Oct 2023","Good place for knowledge","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81132903.htm","Software engineer","Former employee, more than 1 year","Pune","","","",""
"5.0","24 Oct 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81210527.htm","Software engineer","Current employee, more than 1 year","Bengaluru","","","",""
"5.0","23 Jul 2023","Stable Growth and feel free experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW78493502.htm","Senior specialist engineer","Current employee, more than 1 year","Hyderābād","Growth will be based on projects assigned to you. Best clients available, only thing is utilizing your skills to moon and back. Management is employee friendly and ready to listen your concerns and thought and however solutions are dependent.","It has been 1.7years but there is no Compensation revision and hike. and Hike is not on proper periods like every year u cannot expect it depends on companies wish.","Show more",""
"1.0","12 Aug 2023","No Work Ethics","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79083167.htm","Solution architect","Current employee, more than 3 years","Pune","Onsite with Low Pay Plenty of support projects, good for new resource","No work life balance at all you have to work 12 to 14 hours Very Few implementation projects Limited trainings and limited partnership with tool vendors Management and seniors are too much dominating Salavry culture Salary deductions HR is not supportive and take care of the resource's basic needs Rude, political and toxic culture","Show more","1"
"4.0","24 Oct 2023","Team review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81239984.htm","Senior software engineer","Current employee, more than 3 years","Chennai","","","",""
"5.0","31 Oct 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81411020.htm","Senior software engineer","Current employee","Bengaluru","","","",""
"4.0","2 Oct 2023","Good Organization","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80575938.htm","Senior software engineer","Current employee, more than 3 years","Pune","","","",""
"2.0","16 Jun 2023","Don’t join as a Software Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW77440783.htm","Software engineer","Current employee, more than 1 year","Airoli","Fo Mumbai and Pune, offices are good and at multiple locations so it’s convenient","No projects, I was told to join immediately so I joined immediately within a week and was put on bench for couple of months, still no projects, and started asking to get billed. How can I get billed? Tell RMG to do that not me. I didn’t even get any interview calls even after applying to many projects","Show more",""
"3.0","8 Sept 2023","A company for those who are looking for comfort zone","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79878300.htm","Module lead","Former employee, more than 1 year","Bengaluru","There are some good projects which gives good opportunity to grow in technical aspects.","No growth, low hike. Most people look for comfort zone here. There are many senior employees who are in higher position and does nothing.","Show more",""
"4.0","14 Oct 2023","Learning and hike","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80934287.htm","Senior data engineer","Current employee, more than 3 years","Bengaluru","","","",""
"2.0","3 Nov 2023","Less salry","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81517083.htm","Senior quality engineer","Former employee, more than 1 year","Pune","","","",""
"1.0","29 Aug 2023","Worst place I have ever worked","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79574531.htm","Sr. software engineer","Current employee, more than 3 years","Navi Mumbai","Everything's cons there are not any pros, only pro is telling someone you are working for LTI and they get amazed due to the same. that's it","Stress, Tiredness, Tension, Worst work life balance, they even ask you to work on weekends and give you pennies as yearly hikes. No opportunities, managers are the worst.","Show more",""
"3.0","6 Oct 2023","Good to start career","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80718804.htm","Senior product engineer","Current employee","Bengaluru","Work life balance is good","No such cons found other projects and payscales","Show more",""
"1.0","3 Dec 2023","No personal growth","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82290838.htm","Devops consultant","Current employee, more than 8 years","","Nothing to share as there is nothing to acheive","- No work life balance
- Pethatic hikes
- No hardwork recognitions","Show more",""
"1.0","11 Dec 2023","Worst Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82494919.htm","Anonymous employee","Current employee","","Nothing good to write for this pathetic company","worst company
worst work life balance
worst managers
worst attitude.","Show more",""
"2.0","19 Oct 2023","Dotnet developer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81076923.htm","Cloud engineer","Current employee","Mumbai","","","",""
"3.0","24 Oct 2023","Pros and Cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81226763.htm","Software developer","Current employee","","","","",""
"4.0","7 Oct 2023","Great to start with but compensation are not good. Hikes are not good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80753561.htm","Executive- program management","Current employee, more than 1 year","Pune","","","",""
"4.0","7 Oct 2023","Review about LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80753904.htm","Sr specialist data engineering","Current employee, more than 10 years","","","","",""
"4.0","17 Oct 2023","Descent place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81008634.htm","Sap basis consultant","Former employee, more than 1 year","Airoli","","","",""
"5.0","19 Oct 2023","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81088115.htm","Business analyst","Former employee","","","","",""
"4.0","19 Oct 2023","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81110643.htm","Senior software engineer","Current employee, more than 1 year","Mumbai","Nice place to work and good culture","Nothing, there are no cons","Show more",""
"3.0","26 Oct 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81284678.htm","Technical lead","Current employee, more than 1 year","","","","",""
"3.0","17 Sept 2023","ltiMindtree have ended their golden days","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80138866.htm","Software engineer","Current employee, more than 1 year","","Before merger, ltiMindtree was a very good mnc with lots of projects, growing opportunities and good hike but after merger,all ended. No projects,no hike. Everyone is leaving the company","No projects,many people are on bench","Show more",""
"3.0","27 Sept 2023","Good work place","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80471378.htm","Ux desinger","Former contractor, more than 1 year","Chennai","nice office to learn some knowledge","all manager are expect to finish the project asap.","Show more",""
"4.0","18 Oct 2023","Good for fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81045507.htm","Sotware engineer","Current employee, more than 1 year","","","","",""
"4.0","3 Oct 2023","A decent company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80622286.htm","Software engineer","Current employee, more than 1 year","Navi Mumbai","","","",""
"3.0","26 Sept 2023","Data Engineer at LTI","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80416441.htm","Data engineer","Current employee, more than 1 year","Pune","Got to work on good projects for CITI Bank","Compensation growth is terrible in LTI, there are no employee benefit policies like other companies.","Show more",""
"1.0","27 Nov 2023","No job security after merger","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82131338.htm","Software engineer","Former employee","","No job security after merger. Worst bench policy","Don't join if you are for job security","Show more",""
"4.0","18 Oct 2023","Best company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81074232.htm","Senior quality engineer","Current employee, more than 3 years","Pune","","","",""
"4.0","21 Oct 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81155739.htm","Senior software engineer","Current employee, more than 5 years","Hyderābād","have good env to work","i never see any cons things here","Show more",""
"4.0","30 Oct 2023",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81403721.htm","Graduate engineering trainee get","Current employee, more than 1 year","Pune","","","",""
"4.0","26 Sept 2023","Good company overall","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80422795.htm","Quality engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","13 Oct 2023","Good place to work in Service based MNC","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80930604.htm","Specialist software engineer","Current employee","Hyderābād","","","",""
"2.0","17 Oct 2023","Not good after merger","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81007760.htm","Technical lead","Current employee, more than 5 years","Chennai","","","",""
"4.0","23 Oct 2023","nice","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81175208.htm","Engineer","Current employee","","","","",""
"2.0","10 Apr 2023","Not a good place to work anymore","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW75357840.htm","Senior cloud engineer","Former employee, more than 1 year","Hyderābād","Most of the pros have been taken away","It is mostly a support project and they do not look for technical people rather prefer people who have good communication skill Previously 2 way cab was there but now they provide just the one way cab Nothing is discussed with engineer and everyone is told that decisions are made by the Management They say there is Hybrid model but Managers and Senior Manager forces employees to work from office everyday Most of the good things have been taken away There are way more things which can be added here but this might be enough to give an idea whether to join the organisation or not unless things change for good","Show more",""
"4.0","26 Oct 2023","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81290092.htm","Data engineer","Current employee, more than 3 years","Pune","","","",""
